libelle,date,montant,categorie
Bouygues Telecom,27/12/2021,11.99,Communications
LA FRANCAISE DES BOULOGNE,24/12/2021,8.5,Loisirs
AMAZON EU SARL PAYLI,23/12/2021,79.72,Autres
FNAC LYON CEDEX ,20/12/2021,68.98,Autres
GLOCAL DIFFUSION LUNEL,20/12/2021,25.0,Autres
BERNACHON LYON,20/12/2021,21.9,Autres
MAISON RETRAITE VARENNE ST ,20/12/2021,18.5,Loisirs
SNCF INTERNET PARIS ,20/12/2021,18.0,Transports
CARREFOUR LYON ,20/12/2021,13.89,Autres
MAB COLMAR,20/12/2021,10.29,Autres
Smile&P*LE CARTON DES LIMA ,20/12/2021,9.0,Alimentation
SumUp *Horror Show Troyes,20/12/2021,8.0,Alimentation
LE COMPTOIR DE M CAMARET S ,20/12/2021,6.0,Autres
MAB COLMAR,20/12/2021,3.72,Autres
RATP PARIS,20/12/2021,3.65,Transports
SNCF PARIS ,20/12/2021,3.65,Transports
ASV EVENT LYON,20/12/2021,3.0,Alimentation
MAXICOFFEE ARA NEYRON,20/12/2021,1.2,Alimentation
REST UNIV PUVIS ,17/12/2021,6.6,Alimentation
MAXICOFFEE ARA NEYRON,16/12/2021,2.3,Alimentation
MAXICOFFEE ARA NEYRON,16/12/2021,1.6,Alimentation
MAXICOFFEE ARA NEYRON,16/12/2021,1.0,Alimentation
SEAZEN LYON ,15/12/2021,6.9,Loisirs
CARREFOUR MARKET VILLEURBA ,14/12/2021,12.25,Alimentation
MAXICOFFEE ARA NEYRON,14/12/2021,1.2,Alimentation
DECITRE LYON,13/12/2021,24.9,Loisirs
SumUp *Stand Fetes d Lyon,13/12/2021,6.0,Alimentation
MAXICOFFEE ARA NEYRON,10/12/2021,1.0,Alimentation
IZLY SMONEY PARIS,09/12/2021,10.0,Alimentation
MAXICOFFEE ARA NEYRON,09/12/2021,1.2,Alimentation
ARICI VILLEURBANNE,08/12/2021,3.3,Alimentation
SNCF INTERNET PARIS ,07/12/2021,56.0,Transports
BP VILLEURB FACU,07/12/2021,3.2,Alimentation
CARREFOUR MARKET VILLEURBA ,06/12/2021,38.14,Alimentation
MAXICOFFEE ARA NEYRON,06/12/2021,1.0,Alimentation
MAXICOFFEE ARA NEYRON,06/12/2021,1.0,Alimentation
MUTUELLE UNEO UNEO/,06/12/2021,35.36,Santé/Bien être
IZLY SMONEY PARIS,03/12/2021,10.0,Alimentation
AMAZON EU SARL PAYLI,02/12/2021,249.0,Communications
MAXICOFFEE ARA NEYRON,02/12/2021,1.2,Alimentation
MAXICOFFEE ARA NEYRON,02/12/2021,1.2,Alimentation
CARREFOUR MARKET VILLEURBA ,30/11/2021,49.33,Alimentation
ANPILO VILLEURBANNE,30/11/2021,14.9,Loisirs
ANPILO VILLEURBANNE,30/11/2021,11.9,Loisirs
VIR INST vers ARLIM GESTION DONT ,30/11/2021,400.0,Habitation
WA BENTO SAINT-ETIENNE,29/11/2021,17.5,Loisirs
LES HALLES JAPON LYON,29/11/2021,16.7,Alimentation
PLAISIRS GOURMAND TOSSIAT,29/11/2021,15.0,Alimentation
HIPPOPOTAMUS LYONPART,29/11/2021,14.9,Loisirs
iZ *Ma Patte Laiss MEYZIEU ,29/11/2021,8.5,Autres
GINGEMBRE ET GO NEUILLY SU ,29/11/2021,7.0,Alimentation
LES HALLES JAPON LYON,29/11/2021,4.5,Autres
WA BENTO SAINT-ETIENNE,29/11/2021,2.5,Loisirs
Bouygues Telecom ,29/11/2021,11.99,Communications
MAXICOFFEE ARA NEYRON,26/11/2021,1.6,Alimentation
MAXICOFFEE ARA NEYRON,26/11/2021,1.2,Alimentation
MAXICOFFEE ARA NEYRON,26/11/2021,1.0,Alimentation
S.L.T.C. LYON,25/11/2021,10.0,Transports
ARICI VILLEURBANNE,25/11/2021,6.2,Alimentation
MAXICOFFEE ARA NEYRON,25/11/2021,1.0,Alimentation
CARREFOUR.FR MONDEVILLE,19/11/2021,154.26,Alimentation
VIR INST vers ARLIM GESTION FRAIS DE TRAITEMENT ,19/11/2021,2.76,Habitation
MAXICOFFEE ARA NEYRON,18/11/2021,0.5,Alimentation
OXXO VILLEURBANNE,17/11/2021,12.0,Loisirs
OXXO VILLEURBANNE,17/11/2021,7.0,Loisirs
MAXICOFFEE ARA NEYRON,17/11/2021,1.2,Alimentation
MAXICOFFEE ARA NEYRON,17/11/2021,1.2,Alimentation
CARREFOUR MARKET VILLEURBA ,16/11/2021,24.08,Alimentation
PHARMACIE BOY VU VILLEURBA ,16/11/2021,16.4,Santé/Bien être
MPG FLEURS VILLEURBANNE,15/11/2021,15.0,Autres
MAXICOFFEE ARA NEYRON,15/11/2021,1.0,Alimentation
HIPPOPOTAMUS LYONPART,12/11/2021,19.9,Loisirs
LA FRANCAISE DES BOULOGNE,12/11/2021,5.0,Loisirs
MAXICOFFEE ARA NEYRON,12/11/2021,1.1,Alimentation
MAXICOFFEE ARA NEYRON,12/11/2021,0.4,Alimentation
BASILIC&CO VILLEURBANNE,08/11/2021,41.0,Loisirs
MUTUELLE UNEO UNEO/,05/11/2021,35.36,Santé/Bien être
DELIVEROO ,04/11/2021,8.51,Alimentation
MAXICOFFEE ARA NEYRON,03/11/2021,1.0,Alimentation
BlaBlaCar BlaBlaCar Paris,02/11/2021,16.0,Transports
VIR INST vers ARLIM GESTION TOTAL TTC : ,02/11/2021,17.24,Habitation
VIR INST vers ARLIM GESTION DONT ,02/11/2021,400.0,Habitation
Bouygues Telecom ,27/10/2021,11.99,Communications
AMAZON PAYMENTS PAYLI,26/10/2021,25.99,Loisirs
ANIXY SACLAY,26/10/2021,14.0,Loisirs
SNCF INTERNET PARIS ,26/10/2021,1.0,Transports
BlaBlaCar BlaBlaCar Paris,25/10/2021,18.0,Transports
SIBILIA LYON,25/10/2021,12.14,Autres
BZB ,25/10/2021,6.5,Habillement
CC LPD LYON CEDEX ,25/10/2021,0.5,Autres
JUL ,22/10/2021,71.98,Habillement
VOISIN LYONPARTDIE /,22/10/2021,41.8,Autres
CELIO,22/10/2021,26.14,Habillement
SUPERMARCHE ASIE LYON,22/10/2021,22.66,Alimentation
CARREFOUR PARTDI LYON,22/10/2021,19.81,Alimentation
MY LITTLE WARUNG LYON EME,22/10/2021,13.5,Loisirs
LEAF MARKET LYON,22/10/2021,11.25,Autres
S.L.T.C. LYON,22/10/2021,10.0,Transports
ARICI VILLEURBANNE,20/10/2021,4.4,Alimentation
IKONE LYON,15/10/2021,15.9,Loisirs
CARREFOUR MARKET VILLEURBA ,14/10/2021,61.04,Alimentation
MAXICOFFEE ARA NEYRON,14/10/2021,0.5,Alimentation
BANE LAO VILLEURBANNE,13/10/2021,14.35,Alimentation
INSTITUT LUMIERE LYON,13/10/2021,10.0,Loisirs
LVC VILLEURBANNE,13/10/2021,3.58,Alimentation
TENUE DE COMPTE ,12/10/2021,3.3,Autres
MAXICOFFEE ARA NEYRON,12/10/2021,1.0,Alimentation
Too Good To Go KOEBENHAVN,11/10/2021,3.99,Alimentation
FLAM'S LYON,08/10/2021,11.7,Loisirs
MUTUELLE UNEO UNEO/,05/10/2021,35.36,Santé/Bien être
VOISIN LYONPARTDIE /,04/10/2021,27.56,Autres
Too Good To Go KOEBENHAVN,04/10/2021,3.99,Alimentation
VIR INST vers ARLIM GESTION DONT ,02/10/2021,400.0,Habitation
CARREFOUR MARKET VILLEURBA ,30/09/2021,65.13,Alimentation
ANPILO VILLEURBANNE,28/09/2021,14.9,Loisirs
SMAC FRONTONAS,28/09/2021,10.5,Loisirs
Too Good To Go KOEBENHAVN,27/09/2021,4.0,Alimentation
Bouygues Telecom ,27/09/2021,11.99,Communications
UBER *EATS HELP.UBER.COM,24/09/2021,15.67,Alimentation
UZR*hso-ritterladen.d Grun ,23/09/2021,35.3,Autres
BP VILLEURB FACU,23/09/2021,4.64,Alimentation
S.L.T.C. LYON,22/09/2021,10.0,Transports
MAXICOFFEE ARA NEYRON,22/09/2021,0.5,Alimentation
MAXICOFFEE ARA NEYRON,22/09/2021,0.5,Alimentation
IZLY SMONEY PARIS,21/09/2021,37.5,Alimentation
MAXICOFFEE ARA NEYRON,21/09/2021,0.5,Alimentation
CARREFOUR MARKET VILLEURBA ,20/09/2021,106.09,Alimentation
PANZEROTTIAMO LYON,20/09/2021,5.3,Alimentation
YOGOLICIOUS LYON,20/09/2021,4.03,Autres
LES SAVONNERIES LYON ,20/09/2021,2.0,Habitation
YOGOLICIOUS LYON,20/09/2021,1.67,Loisirs
LVC VILLEURBANNE,17/09/2021,7.42,Alimentation
MAXICOFFEE ARA NEYRON,17/09/2021,0.5,Alimentation
Food Society Lyon,15/09/2021,10.0,Loisirs
Food Society Lyon Paris,15/09/2021,5.0,Loisirs
Food Society Lyon Paris,15/09/2021,4.3,Loisirs
